Section,Day,Time,TimeSlot,Subject,SubjectName,Teacher,TeacherName,Room,RoomType,ActivityType,Scheme,WeeklyHours,BlockLocation
SEC01,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-02,Multi-Purpose,Elective,A,2,campus-17-class
SEC01,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-02,Multi-Purpose,Elective,A,2,campus-17-class
SEC01,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-02,Multi-Purpose,Elective,A,2,campus-17-class
SEC01,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-02,Multi-Purpose,Elective,A,2,campus-17-class
SEC01,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-02,Multi-Purpose,Elective,A,2,campus-17-class
SEC01,Mon,10:11,Mon_10_11,A008,"Engg. Lab",T104,"Prof_E",Block-B-Lab-01,Lab,LAB,A,1,b-wl-lab
SEC01,Mon,11:12,Mon_11_12,A001,"T&NM",T112,"Prof_M",Block-17-Room-02,Classroom,THEORY,A,4,campus-17-class
SEC01,Mon,12:01,Mon_12_01,A003,"Eng.",T107,"Prof_H",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Mon,02:03,Mon_02_03,A012,"Chem. Lab",T117,"Prof_R",Block-B-Lab-04,Lab,LAB,A,1,b-wl-lab
SEC01,Mon,03:04,Mon_03_04,A002,"Chem",T100,"Prof_A",Block-17-Room-02,Classroom,THEORY,A,3,campus-17-class
SEC01,Tue,10:11,Tue_10_11,A001,"T&NM",T112,"Prof_M",Block-17-Room-02,Classroom,THEORY,A,4,campus-17-class
SEC01,Tue,11:12,Tue_11_12,A009,"Workshop",T123,"Prof_X",Block-B-Lab-07,Lab,LAB,A,1,b-wl-lab
SEC01,Tue,12:01,Tue_12_01,A001,"T&NM",T128,"Prof_BC",Block-17-Room-02,Classroom,THEORY,A,4,campus-17-class
SEC01,Tue,02:03,Tue_02_03,A011,"Comm. Lab",T127,"Prof_BB",Block-B-Lab-09,Lab,LAB,A,1,b-wl-lab
SEC01,Tue,03:04,Tue_03_04,A006,"BEE",T102,"Prof_C",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Wed,10:11,Wed_10_11,A005,"E.Mech",T144,"Prof_BS",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Wed,11:12,Wed_11_12,A004,"B. Etc.",T109,"Prof_J",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Wed,12:01,Wed_12_01,A002,"Chem",T101,"Prof_B",Block-17-Room-02,Classroom,THEORY,A,3,campus-17-class
SEC01,Wed,02:03,Wed_02_03,A001,"T&NM",T108,"Prof_I",Block-17-Room-02,Classroom,THEORY,A,4,campus-17-class
SEC01,Wed,03:04,Wed_03_04,A002,"Chem",T106,"Prof_G",Block-17-Room-02,Classroom,THEORY,A,3,campus-17-class
