Section,Day,Time,TimeSlot,Subject,SubjectName,Teacher,TeacherName,Room,RoomType,ActivityType,Scheme,WeeklyHours
SEC01,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC01,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC01,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC01,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC01,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC01,Mon,10:11,Mon_10_11,A001,"T&NM",T126,"Prof_BA",Classroom_01,Classroom,THEORY,A,4
SEC01,Mon,11:12,Mon_11_12,A002,"Chem",T149,"Prof_BX",Classroom_02,Classroom,THEORY,A,3
SEC01,Mon,12:01,Mon_12_01,A003,"Eng.",T106,"Prof_G",Classroom_03,Classroom,THEORY,A,2
SEC01,Mon,02:03,Mon_02_03,A004,"B. Etc.",T162,"Prof_CK",Classroom_04,Classroom,THEORY,A,2
SEC01,Mon,03:04,Mon_03_04,A005,"E.Mech",T180,"Prof_DC",Classroom_05,Classroom,THEORY,A,2
SEC01,Tue,10:11,Tue_10_11,A006,"BEE",T114,"Prof_O",Classroom_06,Classroom,THEORY,A,2
SEC01,Tue,11:12,Tue_11_12,A007,"  BEtc ./E.Mech. Lab",T133,"Prof_BH",Lab_07,Lab,LAB,A,1
SEC01,Tue,12:01,Tue_12_01,A008,"Engg. Lab",T147,"Prof_BV",Lab_08,Lab,LAB,A,1
SEC01,Tue,02:03,Tue_02_03,A009,"Workshop",TBD,"TBD",Lab_09,Lab,LAB,A,1
SEC01,Tue,03:04,Tue_03_04,A010,"SY",T111,"Prof_L",Lab_10,Lab,LAB,A,1
SEC01,Wed,10:11,Wed_10_11,A011,"Comm. Lab",T140,"Prof_BO",Lab_01,Lab,LAB,A,1
SEC01,Wed,11:12,Wed_11_12,A012,"Chem. Lab",T131,"Prof_BF",Lab_02,Lab,LAB,A,1
SEC02,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC02,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC02,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC02,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC02,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,A,
SEC02,Mon,10:11,Mon_10_11,A001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,A,4
SEC02,Mon,11:12,Mon_11_12,A002,"Chem",TBD,"TBD",Classroom_02,Classroom,THEORY,A,3
SEC02,Mon,12:01,Mon_12_01,A003,"Eng.",T191,"Prof_DN",Classroom_03,Classroom,THEORY,A,2
SEC02,Mon,02:03,Mon_02_03,A004,"B. Etc.",TBD,"TBD",Classroom_04,Classroom,THEORY,A,2
SEC02,Mon,03:04,Mon_03_04,A005,"E.Mech",TBD,"TBD",Classroom_05,Classroom,THEORY,A,2
SEC02,Tue,10:11,Tue_10_11,A006,"BEE",T127,"Prof_BB",Classroom_06,Classroom,THEORY,A,2
